eic_id,eic_gpn,eic_bu_code
19,CN010046232,CN403
35,CN010046454,CN405
39,CN010046247,CN403
66,CN010046536,CN403
79,CN01078X402,CN403
103,CN010046688,CN403
159,CN010046617,CN403
179,CN010046858,CN409
234,CN010047026,CN401
236,CN010047033,CN401
511,CN010010068,CN403
560,CN010010130,CN401
1044,CN010058488,CN407
1048,CN010058567,CN401
1067,CN010059186,CN401
1119,HK010061459,HK001
1152,CN010062085,CN401
1153,CN010062091,CN401
1275,CN010058715,CN401
1365,CN010059281,CN401
1367,CN010073030,CN401
1394,HK010059853,HK001
1450,CN010068708,CN403
1500,CN010071151,CN401
1684,CN010043362,CN403
1772,CN010044432,CN401
1773,CN010044487,CN401
1778,CN010044508,CN401
1906,CN010045052,CN413
1930,CN010043313,CN403
1982,CN010043390,CN403
2098,CN010057785,CN403
2102,CN010058333,CN401
2104,CN010058338,CN401
2124,CN010057796,CN403
2129,CN010058550,CN407
2225,CN010057982,CN403
2297,CN010057708,CN403
2460,CN010058587,CN406
2487,CN010058367,CN401
2652,CN010045500,CN407
2766,CN010044859,CN401
2811,CN01077X659,CN401
3026,CN010047875,CN407
3103,CN010048128,CN405
3187,CN010047944,CN405
3230,CN010048153,CN405
3697,HK010057252,HK001
3928,CN010057996,CN406
4028,CN010061812,CN417
4067,CN010062519,CN401
4208,CN010076765,CN403
4320,CN010076717,CN427
4332,CN010076885,CN403
4389,CN010077140,CN403
4441,CN010077959,CN405
4606,CN010088648,CN407
4700,CN010088940,CN403
4725,CN010077695,CN407
4731,CN010077733,CN407
4746,CN010077767,CN401
4878,CN010090681,CN407
4901,CN010085064,CN416
5001,CN010077481,CN403
5002,CN010077489,CN403
5070,CN010077705,CN403
5158,CN010077977,CN407
5183,CN010081109,CN403
5226,HK010082834,HK001
5329,CN010085964,CN401
5426,CN010086601,CN403
5436,CN010086760,CN401
5559,CN010087011,CN403
5585,CN010108754,CN403
5599,CN010108825,CN403
5621,CN010109042,CN403
5695,CN010088595,CN428
5736,CN010088289,CN403
5780,CN010109497,CN401
5806,CN010043173,CN410
5850,CN010110482,CN405
5859,CN010110703,CN403
5867,CN010043251,CN403
5895,CN010110886,CN403
5912,CN010110890,CN401
5936,CN010111233,CN403
5938,CN010111267,CN417
5951,CN010044227,CN423
6016,CN010044879,CN401
6032,CN010044929,CN411
6033,CN010044934,CN401
6075,CN010088644,CN407
6105,CN010088799,CN405
6110,HK010092108,HK001
6216,CN010045050,CN413
6305,CN010090923,CN403
6757,CN010082926,CN403
6858,HK010085710,HK001
6873,CN010085988,CN405
6922,CN010087019,CN403
6937,CN010106023,CN401
6946,CN010106181,CN417
6997,CN010107435,CN416
7003,CN010107403,CN403
7022,CN010125279,CN401
7055,HK010107805,HK001
7068,CN010107965,CN403
7076,CN010125302,CN407
7171,CN010126138,CN403
7252,CN010108851,CN403
7561,HK010102780,HK040
7751,HK010105019,HK001
7844,CN010106614,CN405
7870,CN010122940,CN403
7872,CN010123027,CN403
8010,HK010117180,HK001
8196,CN010124636,CN401
8202,CN010124798,CN403
8446,CN010125359,CN405
8535,CN010139075,CN403
8556,CN010139112,CN403
8601,HK010114313,HK001
8648,HK010114215,HK001
8654,HK010114256,HK001
8669,HK010114706,HK001
8712,CN010140042,CN403
8714,CN010140046,CN403
8823,HK010115060,HK001
8848,CN010115496,CN401
8850,CN010140632,CN416
8853,CN010140658,CN403
8855,CN010117421,CN403
8879,CN010140894,CN403
9074,CN010108346,CN403
9078,CN010110544,CN403
9119,CN010110889,CN403
9153,CN010111285,CN407
9169,CN010111516,CN405
9217,CN010111744,CN401
9298,CN010109797,CN401
9389,CN010113706,CN403
9420,CN010045963,CN403
9474,CN010110897,CN416
9504,HK010152158,HK001
9795,CN010138907,CN403
9810,CN010139098,CN403
9830,CN010139265,CN403
9865,CN010139108,CN403
9866,CN010139126,CN403
9878,CN010157149,CN405
9887,CN010139468,CN403
9944,HK010159488,HK001
9948,CN010139467,CN403
10288,CN010160864,CN401
10322,CN010160899,CN401
10436,CN010159503,CN403
10459,CN010182827,CN403
10461,CN010183030,CN413
10505,CN010140433,CN403
10520,CN010140585,CN419
10574,HK010141950,HK001
10607,CN010143026,CN412
10654,CN010140611,CN413
10788,CN010142172,CN405
10880,CN010148654,CN401
10888,CN010163484,CN417
10920,CN010149247,CN401
10983,CN010150047,CN405
10992,CN010150173,CN407
10993,CN010150182,CN403
11045,CN010150552,CN401
11074,CN010150718,CN401
11192,CN010145970,CN401
11234,CN010146507,CN401
11248,CN010146834,CN414
11249,CN010146848,CN401
11276,CN010172500,CN401
11349,CN010149164,CN403
11394,CN010149597,CN417
11475,CN010150187,CN407
11477,CN010150203,CN407
11480,CN010150316,CN407
11483,CN010150336,CN415
11537,CN010125674,CN407
11545,HK010148534,HK001
11571,CN010148679,CN403
11583,CN010125721,CN403
11631,CN010126579,CN407
11678,HK010126965,HK001
11750,CN010149844,CN407
11789,CN010150194,CN407
11827,CN010150465,CN405
11876,CN010150753,CN407
11880,HK010150802,HK001
11956,CN010133134,CN403
12031,CN010160500,CN401
12058,CN010160786,CN401
12073,CN010000005,CN401
12097,CN010183666,CN403
12103,CN010183667,CN403
12124,CN010184507,CN403
12227,CN010186099,CN401
12521,CN010187018,CN405
12563,CN010188339,CN407
12616,CN010205119,CN401
12641,CN010188281,CN401
12644,CN010188291,CN401
12652,CN010188329,CN417
12690,CN010205506,CN401
12704,HK010189017,HK001
12937,HK010195217,HK040
12958,CN010191011,CN405
12966,CN010196230,CN403
13009,CN010181492,CN403
13084,CN010182082,CN403
13093,HK010194181,HK001
13121,CN010182299,CN416
13171,CN010201432,CN419
13199,CN010184263,CN405
13202,CN010184435,CN406
13238,CN010183167,CN413
13256,CN010184518,CN403
13321,CN010185902,CN413
13333,CN010186092,CN401
13357,CN010203465,CN401
13390,CN010186897,CN407
13396,HK010203647,HK040
13416,CN010203859,CN403
13434,CN010187293,CN401
13489,CN010187886,CN401
13507,CN010188233,CN401
13512,CN010188324,CN407
13518,CN010188481,CN401
13526,CN010188497,CN401
13595,CN010177271,CN403
13635,CN010189235,CN419
13644,HK010189348,HK001
13753,HK010173708,HK001
13922,CN010179819,CN410
13927,CN010180043,CN410
13941,CN010191082,CN405
13957,CN010180875,CN403
13961,CN010181143,CN403
14000,CN010182085,CN403
14005,CN010205362,CN401
14050,CN010237289,CN410
14083,CN010237317,CN411
14130,CN010237323,CN419
14232,CN010223132,CN405
14307,CN010237592,CN401
14408,CN010228015,CN403
14614,CN010239381,CN403
14657,CN010231513,CN401
14793,CN010241107,CN403
14856,CN010237149,CN403
14892,CN010237241,CN403
14964,CN010237335,CN416
15058,CN010202614,CN413
15090,CN010202687,CN409
15091,CN010202689,CN401
15096,CN010202714,CN403
15104,CN010230743,CN403
15127,CN010231737,CN401
15136,CN010205985,CN403
15256,CN010203613,CN401
15363,CN010213231,CN405
15385,CN010237104,CN403
15387,CN010237107,CN403
15444,CN010237193,CN403
15477,CN010237250,CN403
15481,CN010046538,CN403
15661,CN010202583,CN403
15742,CN010202707,CN416
15778,CN010202859,CN407
15796,CN010224435,CN401
15863,HK010201689,HK001
15898,CN010228102,CN403
15901,CN010203612,CN407
15910,HK010203631,HK001
15911,HK010203639,HK001
15957,CN010202541,CN403
15968,CN010203866,CN401
15982,CN010204330,CN401
15998,CN010204419,CN401
16008,CN010245740,CN401
16045,CN010248256,CN423
16047,HK010248279,HK001
16074,HK010231009,HK001
16130,HK010248714,HK040
16166,CN010237763,CN405
16227,CN010251460,CN401
16246,HK010238997,HK070
16297,CN010253423,CN405
16309,HK010240209,HK070
16350,CN010234671,CN409
16397,CN010234688,CN417
16399,CN010234695,CN417
16408,CN010257017,CN401
16445,CN010236390,CN403
16457,HK010244882,HK001
16492,CN010245182,CN401
16526,HK010259594,HK001
16549,CN010260663,CN415
16556,CN010240687,CN403
16557,HK010240697,HK001
16563,CN010240718,CN403
16582,CN010242224,CN401
16649,CN010263383,CN403
16657,HK010244868,HK001
16662,CN010263631,CN419
16675,CN010263478,CN403
16686,HK010244883,HK001
16687,HK010244888,HK001
16714,HK010244905,HK001
16715,HK010244906,HK001
16723,HK010244916,HK001
16724,CN010244917,CN403
16840,CN010263722,CN405
16884,CN010251452,CN403
16922,CN010253361,CN420
16927,CN010264926,CN427
16941,CN010254074,CN407
16953,CN010264896,CN401
17006,CN010259456,CN403
17008,CN010259505,CN401
17029,CN010237240,CN403
17030,CN010237244,CN403
17067,HK010259575,HK001
17074,CN010259819,CN401
17127,CN010237439,CN403
17136,HK010249117,HK001
17176,CN010237524,CN412
17201,CN010260888,CN401
17226,CN010261497,CN401
17236,CN010237589,CN401
17302,CN010262514,CN403
17329,CN010263351,CN403
17393,CN010237768,CN405
17394,CN010237769,CN405
17464,HK010238972,HK040
17494,CN010263507,CN403
17498,CN010263520,CN403
17506,CN010263369,CN403
17527,CN010263439,CN416
17547,CN010270182,CN401
17562,CN010263497,CN403
17564,CN010263502,CN403
17576,CN010263519,CN403
17578,CN010263535,CN403
17581,CN010270240,CN401
17614,CN010272196,CN403
17734,CN010275201,CN401
17746,CN010263680,CN407
17898,HK010280974,HK040
17949,CN010264915,CN405
18112,CN010265710,CN401
18124,CN010286165,CN415
18230,CN010266680,CN403
18323,CN010288887,CN405
18328,CN010289263,CN403
18359,CN010267653,CN403
18447,CN010292023,CN403
18496,CN010268863,CN405
18529,CN010303317,CN401
18536,CN010303501,CN403
18542,CN010303320,CN401
18551,CN010303381,CN403
18566,CN010303466,CN411
18568,CN010303471,CN411
18597,CN010303528,CN416
18622,CN010303554,CN416
18629,CN010303582,CN403
18649,CN010303761,CN409
18654,CN010304278,CN414
18670,CN010304763,CN401
18702,CN010304051,CN401
18756,CN010305451,CN412
18762,CN010305494,CN405
18792,CN010305501,CN401
18841,CN010305615,CN429
18866,CN010305726,CN401
18869,CN010305736,CN413
18875,CN010305565,CN405
18901,CN010305795,CN403
18907,CN010286337,CN403
18909,CN010286428,CN401
18945,CN010305621,CN413
18951,CN010305835,CN407
18952,CN010305846,CN405
18966,CN010288558,CN401
19029,CN010265666,CN401
19083,CN010265658,CN401
19189,CN010266253,CN401
19265,CN010260648,CN401
19308,CN010261514,CN403
19351,CN010267396,CN403
19377,CN010262516,CN406
19401,CN010267594,CN401
19454,HK010268391,HK001
19470,CN010263345,CN403
19474,CN010263363,CN403
19496,CN010268583,CN403
19541,CN010293982,CN429
19578,CN010294636,CN403
19579,CN010294637,CN403
19843,CN010301133,CN401
19885,CN010300488,CN401
19977,CN010303379,CN401
20040,CN010305818,CN405
20064,CN010305927,CN405
20084,HK010307836,HK070
20245,CN010294399,CN409
20278,CN010294655,CN414
20296,CN010294912,CN403
20321,HK010313056,HK001
20324,CN010313075,CN405
20355,HK010313097,HK001
20367,HK010313102,HK001
20403,CN010313429,CN403
20412,CN010313862,CN401
20421,CN010314266,CN401
20423,CN010310732,CN403
20441,CN010310965,CN407
20456,HK010316338,HK001
20485,HK010316375,HK001
20580,CN010313915,CN403
20676,CN010303362,CN401
20677,CN010303367,CN422
20711,CN010303406,CN403
20736,CN010303472,CN411
20738,CN010303477,CN403
20739,CN010303481,CN403
20740,CN010303484,CN403
20771,CN010303533,CN419
20776,CN010316405,CN401
20794,CN010317126,CN401
20842,CN010323049,CN401
20850,CN010318136,CN401
20930,CN010320332,CN401
20944,CN010325196,CN401
20962,CN010321014,CN401
20968,CN010305492,CN401
20975,CN010305526,CN401
20983,CN010305539,CN401
21035,CN010327273,CN405
21118,CN010328319,CN403
21133,CN010328361,CN403
21149,CN010328398,CN403
21153,CN010326628,CN412
21219,CN010327911,CN403
21223,CN010328013,CN415
21225,CN010305854,CN405
21227,CN010305858,CN407
21234,CN010328499,CN403
21260,CN010305924,CN401
21292,CN010328329,CN403
21318,CN010328644,CN407
21325,CN010328972,CN405
21348,CN010328384,CN403
21355,CN010329062,CN420
21373,HK010329262,HK001
21375,HK010329270,HK070
21387,CN010328444,CN403
21404,CN010328477,CN403
21407,CN010328489,CN403
21426,CN010328533,CN403
21453,CN010328603,CN405
21468,CN010330716,CN403
21492,CN010328628,CN405
21498,CN010328665,CN405
21500,CN010328671,CN403
21514,CN010331476,CN405
21554,HK010313055,HK001
21617,HK010313105,HK001
21750,CN010332598,CN405
21758,HK010316348,HK001
21760,HK010316354,HK001
21766,CN010333287,CN401
21767,HK010316363,HK001
21781,CN010332252,CN401
21864,CN010317047,CN407
21889,CN010334886,CN401
21933,CN010332474,CN401
21948,CN010317625,CN401
22160,CN010352713,CN417
22173,CN010328576,CN403
22232,CN010352712,CN417
22298,CN010329061,CN401
22329,CN010356178,CN403
22364,CN010356267,CN403
22381,CN010356304,CN403
22389,CN010356245,CN403
22416,CN010356272,CN403
22427,CN010356303,CN403
22461,CN010356419,CN413
22468,CN010356477,CN419
22471,CN010356404,CN419
22479,CN010356483,CN419
22490,CN010356427,CN413
22515,CN010333288,CN401
22523,CN010318526,CN403
22549,CN010318808,CN403
22555,CN010333726,CN403
22565,CN010318966,CN401
22566,HK010318967,HK001
22584,CN010319610,CN401
22587,CN010319985,CN401
22613,CN010337005,CN415
22634,CN010321413,CN403
22698,HK010322770,HK001
22716,CN010323135,CN401
22736,HK010335240,HK001
22741,CN010324395,CN401
22784,CN010335662,CN401
22790,CN010335711,CN401
22820,CN010336967,CN417
22832,HK010326201,HK040
22906,CN010338578,CN401
22923,CN010339065,CN401
22984,CN010340648,CN401
22993,CN010328244,CN407
23009,CN010356466,CN413
23011,CN010356479,CN419
23023,CN010356553,CN403
23026,CN010356510,CN403
23034,CN010356558,CN403
23037,CN010356568,CN403
23039,CN010356578,CN403
23117,CN010332264,CN401
23230,CN010359648,CN415
23250,CN010359680,CN406
23255,CN010359697,CN407
23275,CN010359744,CN401
23326,CN010359746,CN401
23329,CN010332565,CN401
23374,CN010333299,CN401
23376,CN010333309,CN407
23521,CN010334958,CN403
23543,CN010362770,CN401
23559,CN010362618,CN407
23567,CN010362634,CN403
23613,CN010362761,CN401
23625,CN010362778,CN401
23628,CN010362789,CN401
23629,CN010335465,CN407
23646,CN010362795,CN401
23668,CN010336093,CN401
23670,CN010364586,CN401
23764,CN010363878,CN401
23791,CN010368017,CN401
23821,CN010365660,CN401
23848,CN010338054,CN420
23858,HK010369517,HK001
23893,CN010368446,CN405
23904,CN010371892,CN403
23926,CN010339063,CN401
23982,CN010375122,CN403
24011,HK010395563,HK040
24017,CN010396128,CN409
24031,CN010389645,CN401
24039,CN010397065,CN401
24064,HK010390324,HK001
24106,CN010362718,CN401
24128,CN010362754,CN401
24157,CN010362802,CN401
24240,CN010393157,CN714
24256,CN010363825,CN403
24268,CN010393168,CN773
24301,CN010393277,CN414
24489,CN010366458,CN401
24561,CN010396994,CN401
24563,CN010368016,CN405
24695,CN010397631,CN403
24705,CN010402730,CN401
24720,CN010398058,CN401
24766,CN010373764,CN405
24785,CN010373939,CN405
24885,CN010406104,CN403
24953,CN010407436,CN403
24999,CN010402184,CN722
25006,HK010379502,HK001
25017,CN010387844,CN422
25203,CN010392856,CN407
25211,CN010359333,CN403
25265,CN010359685,CN407
25279,CN010393553,CN401
25284,HK010382500,HK001
25325,CN010383919,CN401
25378,HK010386790,HK001
25434,CN010387770,CN422
25450,CN010387790,CN422
25467,HK010361397,HK001
25496,CN010395092,CN403
25502,CN010376287,CN401
25506,CN010371547,CN401
25589,HK010379199,HK040
25668,CN010376856,CN403
25728,CN010352714,CN417
25805,HK010382475,HK001
25807,CN010356201,CN403
25808,CN010356214,CN403
25809,CN010356219,CN415
25811,CN010356229,CN403
25817,CN010356251,CN403
25850,HK010382513,HK001
25863,CN010356369,CN410
25870,HK010383503,HK001
25884,CN010356403,CN403
25894,CN010356410,CN413
25898,HK010356429,HK001
25902,CN010385281,CN403
25905,CN010356442,CN403
25929,CN010356487,CN416
25933,CN010356521,CN414
25948,HK010386801,HK001
25977,CN010387777,CN422
25989,CN010356579,CN403
26009,CN010378973,CN414
26018,CN010402700,CN401
26082,CN010411949,CN403
26265,CN010405997,CN405
26301,CN010385053,CN403
26312,CN010421347,CN403
26403,CN010387772,CN422
26409,CN010387819,CN428
26411,CN010387825,CN422
26412,CN010387826,CN422
26413,CN010387831,CN422
26422,HK010388095,HK070
26456,CN010389136,CN407
26471,CN010390325,CN407
26531,CN010391026,CN407
26543,CN010391064,CN405
26566,CN010427750,CN405
26576,CN010427768,CN405
26581,CN010427789,CN403
26594,CN010427843,CN405
26611,CN010428196,CN401
26627,CN010428246,CN401
26793,CN010422995,CN422
26808,CN010393555,CN401
26886,CN010432715,CN403
26887,CN010432717,CN403
26957,CN010432955,CN403
26966,CN010394045,CN405
26971,CN010394191,CN403
26973,CN010394204,CN403
26980,CN010394437,CN401
26994,CN010432977,CN403
27100,CN010396464,CN416
27102,CN010396481,CN416
27168,HK010429494,HK040
27177,CN010433363,CN401
27201,CN010433453,CN401
27213,CN010433464,CN401
27345,CN010432690,CN419
27347,CN010432693,CN416
27350,CN010432709,CN403
27353,CN010432725,CN403
27358,CN010432741,CN403
27375,CN010432780,CN403
27379,CN010432814,CN411
27418,CN010432870,CN413
27463,CN010432914,CN413
27464,CN010432917,CN413
27465,CN010432918,CN413
27536,HK010399913,HK001
27610,CN010433202,CN427
27701,CN010433485,CN401
27727,HK010444599,HK001
27785,CN010446179,CN401
27816,HK010447027,HK001
27936,HK010451461,HK001
27960,CN010401499,CN401
27961,CN010401506,CN401
28052,CN010483777,CN403
28108,CN010427925,CN405
28118,CN010485133,CN405
28241,CN010477185,CN403
28285,CN010490147,CN401
28382,CN010432718,CN403
28403,CN010432866,CN413
28412,CN010432915,CN413
28413,CN010432921,CN403
28414,CN010432926,CN416
28434,CN010432991,CN429
28504,CN010468035,CN403
28641,CN010469532,CN403
28709,HK010462215,HK040
28720,HK010462689,HK001
28755,CN010470385,CN405
28855,HK010466969,HK001
28892,CN010467396,CN403
29032,CN010402249,CN401
29128,HK010445040,HK001
29173,HK010459869,HK001
29174,HK010459874,HK001
29219,CN010461043,CN403
29229,HK010449669,HK001
29261,HK010451191,HK001
29276,HK010451276,HK001
29295,CN010451841,CN401
29305,CN010452522,CN403
29336,CN010453372,CN401
29362,CN010404982,CN403
29431,CN010405217,CN401
29442,CN010466892,CN405
29443,CN010466893,CN405
29467,CN010459142,CN403
29469,HK010467221,HK040
29476,CN010459843,CN405
29589,CN010474240,CN403
29696,HK010471319,HK070
29864,CN010422990,CN422
30012,CN010480796,CN403
30064,CN010433314,CN401
30101,CN010433416,CN401
30115,CN010433438,CN420
30117,CN010433444,CN423
30149,CN010483712,CN403
30281,HK010436505,HK001
30287,CN010487579,CN401
30824,HK010445002,HK001
30869,CN010508454,CN403
30986,CN010450278,CN401
31011,CN010451537,CN403
31012,CN010511775,CN401
31084,CN010452053,CN401
31249,HK010510476,HK001
31441,HK010456036,HK001
31610,CN010460937,CN403
31649,HK010513345,HK001
31661,CN010516446,CN403
31662,CN010516447,CN410
31736,CN010046996,CN407
31838,CN010518261,CN416
31907,HK010466921,HK001
31968,CN010520432,CN401
32011,CN010544009,CN401
32014,CN010544040,CN401
32015,CN010544240,CN403
32038,CN010545104,CN403
32042,HK010545436,HK001
32106,CN010550490,CN401
32107,CN010550584,CN430
32120,CN010550845,CN401
32142,CN010551549,CN403
32161,CN010552770,CN403
32165,HK010479719,HK001
32190,CN010553324,CN425
32191,CN010553325,CN425
32209,HK010548837,HK001
32221,CN010548939,CN401
32223,CN010549186,CN410
32244,HK010480878,HK040
32261,CN010550058,CN401
32262,CN010550065,CN401
32263,CN010550067,CN403
32332,CN010552250,CN401
32371,HK010554656,HK001
32376,CN010552879,CN405
32427,CN010483963,CN401
32428,CN010483970,CN401
32491,CN010485132,CN401
32575,CN010536324,CN417
32667,CN010534609,CN405
32706,CN010539656,CN403
32736,HK010541592,HK001
32771,CN010542518,CN403
32815,HK010474242,HK001
32820,CN010543855,CN403
32833,CN010544239,CN403
32839,CN010474821,CN401
32893,CN010546519,CN401
32898,CN010540827,CN403
32952,CN010546822,CN401
32992,CN010547643,CN401
33060,CN010555171,CN406
33082,CN010556342,CN403
33097,CN010554285,CN405
33112,CN010485170,CN401
33132,CN010557177,CN401
33337,CN010047032,CN401
33442,CN010560198,CN401
33470,CN010562478,CN417
33474,CN010563250,CN403
33536,CN010520000,CN401
33730,CN010522348,CN722
33804,CN010526485,CN405
33863,CN010472197,CN401
33876,CN010472439,CN403
33894,CN010529538,CN403
33913,HK010472877,HK001
33945,CN010473187,CN403
33954,HK010532479,HK001
33963,CN010527576,CN401
34090,CN010565140,CN403
34097,CN010565389,CN411
34109,CN010556823,CN403
34182,CN010558311,CN406
34190,CN010566731,CN401
34366,HK010496384,HK001
34444,HK010570767,HK001
34464,CN010573147,CN403
34479,CN010498892,CN403
34501,CN010560674,CN416
34604,CN010563238,CN401
34615,CN010563431,CN403
34714,CN010565394,CN422
34727,CN010565469,CN403
34811,HK010567046,HK040
34814,HK010567062,HK040
34847,HK010567705,HK001
34978,HK010570788,HK001
35140,HK010598573,HK001
36166,HK010519240,HK001
36215,CN010519945,CN403
36321,CN010523032,CN403
36362,HK010607087,HK001
36502,CN010525762,CN401
36562,CN010528044,CN403
36827,CN010625057,CN406
36862,CN010531794,CN428
36901,HK010629043,HK001
